code,tradeStatus,code_name,date,codenumber
bj.838837,1,,2023-09-21,838837
bj.838924,1,,2023-09-21,838924
bj.838971,1,,2023-09-21,838971
bj.839167,1,,2023-09-21,839167
bj.839273,1,,2023-09-21,839273
bj.839371,1,,2023-09-21,839371
bj.839680,1,,2023-09-21,839680
bj.839719,1,,2023-09-21,839719
bj.839725,1,,2023-09-21,839725
bj.839729,1,,2023-09-21,839729
bj.839790,1,,2023-09-21,839790
bj.839792,1,,2023-09-21,839792
bj.839946,1,,2023-09-21,839946
bj.870199,1,,2023-09-21,870199
bj.870204,1,,2023-09-21,870204
bj.870299,1,,2023-09-21,870299
bj.870357,1,,2023-09-21,870357
bj.870436,1,,2023-09-21,870436
bj.870508,1,,2023-09-21,870508
bj.870726,1,,2023-09-21,870726
bj.870866,1,,2023-09-21,870866
bj.870976,1,,2023-09-21,870976
bj.871245,1,,2023-09-21,871245
bj.871396,1,,2023-09-21,871396
bj.871478,1,,2023-09-21,871478
bj.871553,1,,2023-09-21,871553
bj.871634,1,,2023-09-21,871634
bj.871642,1,,2023-09-21,871642
bj.871694,1,,2023-09-21,871694
bj.871753,1,,2023-09-21,871753
bj.871857,1,,2023-09-21,871857
bj.871970,1,,2023-09-21,871970
bj.871981,1,,2023-09-21,871981
bj.872190,1,,2023-09-21,872190
bj.872351,1,,2023-09-21,872351
bj.872374,1,,2023-09-21,872374
bj.872392,1,,2023-09-21,872392
bj.872541,1,,2023-09-21,872541
bj.872808,1,,2023-09-21,872808
bj.872895,1,,2023-09-21,872895
bj.872925,1,,2023-09-21,872925
bj.872953,1,,2023-09-21,872953
bj.873001,1,,2023-09-21,873001
bj.873122,1,,2023-09-21,873122
bj.873152,1,,2023-09-21,873152
bj.873167,1,,2023-09-21,873167
bj.873169,1,,2023-09-21,873169
bj.873223,1,,2023-09-21,873223
bj.873305,1,,2023-09-21,873305
bj.873339,1,,2023-09-21,873339
bj.873527,1,,2023-09-21,873527
bj.873576,1,,2023-09-21,873576
bj.873593,1,,2023-09-21,873593
sh.000001,1,上证综合指数,2023-09-21,000001
sh.000002,1,上证A股指数,2023-09-21,000002
sh.000003,1,上证B股指数,2023-09-21,000003
sh.000004,1,上证工业类指数,2023-09-21,000004
sh.000005,1,上证商业类指数,2023-09-21,000005
sh.000006,1,上证房地产指数,2023-09-21,000006
sh.000007,1,上证公用事业指数,2023-09-21,000007
sh.000008,1,上证综合业类指数,2023-09-21,000008
sh.000009,1,上证380,2023-09-21,000009
sh.000010,1,上证180指数,2023-09-21,000010
sh.000011,1,上证基金指数,2023-09-21,000011
sh.000012,1,上证国债指数,2023-09-21,000012
sh.000013,1,上证企业债指数,2023-09-21,000013
sh.000015,1,上证红利指数,2023-09-21,000015
sh.000016,1,上证50指数,2023-09-21,000016
sh.000017,1,新上证综指,2023-09-21,000017
sh.000018,1,上证180金融股指数,2023-09-21,000018
sh.000019,1,上证公司治理指数,2023-09-21,000019
sh.000020,1,上证中型企业综合指数,2023-09-21,000020
sh.000021,1,上证180公司治理指数,2023-09-21,000021
sh.000022,1,沪公司债,2023-09-21,000022
sh.000025,1,上证180基建指数,2023-09-21,000025
sh.000026,1,上证180资源指数,2023-09-21,000026
sh.000027,1,上证180交通运输指数,2023-09-21,000027
sh.000028,1,上证180成长指数,2023-09-21,000028
sh.000029,1,上证180价值指数,2023-09-21,000029
sh.000030,1,上证180相对成长指数,2023-09-21,000030
sh.000031,1,上证180相对价值指数,2023-09-21,000031
